#,Date,Incidents & Description,Location,People Killed,Injured,Status of the Case
1,08-Jun-80,Mandai massacre,Tripura,500,,N/A
2,02-Aug-84,Meenambakkam bomb blast,Tamil Nadu,30,25,Verdict given
3,07-Jul-87,1987 Haryana killings,Haryana,36,60,N/A
4,21-May-91,Assassination of Rajiv Gandhi,Tamil Nadu,15,,
5,15-Jun-91,1991 Punjab killings,Punjab,126,200,
6,17-Oct-91,1991 Rudrapur bombings,Uttarakhand,41,140,
7,08-Nov-91,1991 Kalyan train bomb blast,Mumbai,12,65,Verdict given
8,12-Mar-93,1993 Bombay bombings,Mumbai,257,700+,
9,16-Mar-93,1993 Bowbazar bombing,"Kolkata (Formerly Calcutta), WB",69,,
10,09-Apr-93,Palar blast,Karnataka,22,13,
11,08-Aug-93,1993 bombing of RSS office in Chennai,Tamil Nadu,11,7,
12,5–6 December 1993,Trains and Ajmer,Rajasthan,,,
13,21-May-96,1996 Lajpat Nagar blast,Delhi,13,39,
14,22-May-96,1996 Dausa blast,Rajasthan,14,37,
15,30-Dec-96,Brahmaputra Mail train bombing,Assam,33,150,N/A
16,14-Feb-98,1998 Coimbatore bombings,Tamil Nadu,58,200+,Verdict given
17,20-May-00,Bagber massacre,Tripura,25,,
18,May–July 2000,2000 Church bombings of South India,"Karnataka, Goa, Andhra Pradesh",0,,Verdict given
19,09-Jun-01,Charar-e-Sharief mosque attack,Charari Sharief,4,60,
20,22-Dec-00,2000 terrorist attack on Red Fort,Delhi,3,14,Verdict given
21,01-Oct-01,2001 Jammu and Kashmir legislative assembly car bombing,Jammu and Kashmir,38,,
22,13-Dec-01,2001 Indian Parliament attack in New Delhi,Delhi,7,18,Verdict given
23,22-Jan-02,American Cultural Centre attack,Kolkata,5,20,
24,13-May-02,2002 Jaunpur train crash,N/A,12,80,
25,30-Mar-02,2002 Raghunath temple attacks,Jammu,11,20,
26,10-Sep-02,Rafiganj train wreck,Bihar,200,150+,
27,24-Nov-02,2002 Raghunath temple attacks,Jammu,14,45,
28,06-Dec-02,2002 Mumbai bus bombing,Mumbai,2,14,
29,21-Dec-02,Kurnool train crash,Andhra Pradesh,20,80,
30,24-Sep-02,Attack on Akshardham temple,Gujarat,31,80,Verdict given
31,27-Jan-03,January 2003 Mumbai bombing,Mumbai,1,28,
32,13-Mar-03,March 2003 Mumbai bombing,Mumbai,10,,
33,23-Mar-03,2003 Nadimarg massacre,"Nadimarg, Jammu and Kashmir",25,1,
34,14-Aug-03,Kamalnagar massacre,Tripura,14,,N/A
35,25-Aug-03,August 2003 Mumbai bombings,Mumbai,52,,
36,02-Jan-04,Jammu railway station attack,Jammu,4,14,
37,15-Aug-04,2004 Dhemaji school bombing,Assam,18,40,
38,02-Oct-04,2004 Dimapur bombings,"Dimapur, Nagaland",30,100,
39,05-Jul-05,2005 Ram Janmabhoomi attack,Ayodhya,6,,
40,28-Jul-05,2005 Jaunpur train bombing,N/A,13,50,
41,29-Oct-05,2005 Delhi bombings: Three powerful serial blasts in New Delhi at different places,Delhi,70,250,
42,28-Dec-05,2005 Indian Institute of Science shooting,Karnataka,1,4,
43,19-Feb-06,2006 Ahmedabad railway station bombing,Gujarat,0,25,
44,07-Mar-06,2006 Varanasi bombings: Three synchronized terrorist attacks in Varanasi in Shri Sankatmochan Mandir and Varanasi Cantonment Railway Station,Varanasi,28,101,
45,11-Jul-06,2006 Mumbai train bombings: Series of 7 train bombing during the evening rush hour in Mumbai,Mumbai,209,714,
46,08-Sep-06,"2006 Malegaon bombings: Series of bomb blasts in the vicinity of a mosque in Malegaon, Maharashtra",Maharashtra,40,125,
47,18-Feb-07,2007 Samjhauta Express bombings,Haryana,70,50,
48,18-May-07,Mecca Masjid bombing,Hyderabad,16,100,
49,25-Aug-07,August 2007 Hyderabad bombings - Two blasts in Hyderabad's Lumbini park and Gokul Chat,Hyderabad,42,54,
50,11-Oct-07,Ajmer Dargah bombing,Rajasthan,3,17,
51,14-Oct-07,One blast in a movie theatre in the town of Ludhiana,Ludhiana,6,,
52,24-Nov-07,"A series of near-simultaneous explosions at courthouse complexes in the cities of Lucknow, Varanasi, and Faizabad",Uttar Pradesh,16,70,
53,01-Jan-08,"Terror attack on CRPF camp in Rampur, Uttar Pradesh by Lashkar-e-Taiba",Rampur,8,5,
54,13-May-08,Jaipur bombings: 9 bomb blasts along 6 areas in Jaipur,Jaipur,71,200,Verdict given
55,25-Jul-08,2008 Bangalore serial blasts: 8 low intensity bomb blasts in Bangalore,Bangalore,1,20,Arrests made
56,26-Jul-08,2008 Ahmedabad bombings: 17 serial bomb blasts in Ahmedabad,Gujarat,56,200,Arrests made
57,13-Sep-08,13 September 2008 Delhi bombings: 5 bomb blasts in Delhi markets,Delhi,33,130,
58,27-Sep-08,"27 September 2008 Delhi bombing: Bombings at Mehrauli area, 2 bomb blasts in Delhi flower market",Delhi,3,21,
59,29-Sep-08,29 September 2008 western India bombings: 10 killed and 80 injured in bombings in Maharashtra (including Malegaon) and Gujarat bomb blasts,Maharashtra,10,80,
60,01-Oct-08,2008 Agartala bombings,Agartala,4,100,
61,21-Oct-08,2008 Imphal bombing,Imphal,17,40+,
62,30-Oct-08,2008 Assam bombings,Assam,81,470,
63,26-Nov-08,2008 Mumbai attacks,Mumbai,171,300+,Verdict given
64,01-Jan-09,2009 Guwahati bombings,Assam,6,67,
65,06-Apr-09,2009 Assam bombings,Assam,9,63,
66,13-Feb-10,2010 Pune bombing,Pune,17,54,
67,15-Feb-10,Silda camp attack,West Bengal,28,,
68,06-Apr-10,April 2010 Maoist attack in Dantewada,Chhattisgarh,84 (including 8 terrorists),8,
69,17-May-10,2010 Dantewada bus bombing,Dantewada,31-44,15,
70,28-May-10,Jnaneswari Express train derailment,West Bengal,148,200+,
71,07-Dec-10,2010 Varanasi bombing,Varanasi,2,37,
72,13-Jul-11,2011 Mumbai bombings,Mumbai,26,130,
73,07-Sep-11,2011 Delhi bombing,Delhi,15,74,
74,13-Feb-12,2012 attacks on Israeli diplomats,New Delhi,0,4,
75,01-Aug-12,2012 Pune bombings,Pune,0,1,
76,21-Feb-13,2013 Hyderabad blasts,Hyderabad,18,131,
77,13-Mar-13,March 2013 Srinagar attack,Jammu and Kashmir,7,10,
78,17-Apr-13,2013 Bangalore blast,Bengaluru,0,16,
79,25-May-13,2013 Naxal attack in Darbha valley,Chhattisgarh,32,32,
80,24-Jun-13,June 2013 Srinagar attack,Jammu and Kashmir,8,19,
81,07-Jul-13,July 2013 Maoist attack in Dumka,Chhattisgarh,2,,
82,07-Jul-13,Bodh Gaya bombings,Bihar,0,5,
83,27-Oct-13,2013 Patna bombings,Bihar,6,85,
84,26-Dec-13,2013 Jalpaiguri bombing,West Bengal,5,5,
85,11-Mar-14,2014 Chhattisgarh attack,Chhattisgarh,16,3,
86,25-Apr-14,Blast in Jharkhand,Jharkhand,8,04-May,
87,28-Apr-14,Blast in Budgam District,Jammu and Kashmir,0,18,
88,01-May-14,2014 Chennai train bombing,Tamil Nadu,1,14,
89,May-14,May 2014 Assam violence,Assam,33,,
90,12-May-14,Maoist blast in Gadchiroli District,Jharkhand,7,2,
91,23-Dec-14,December 2014 Assam violence,Assam,85,,
92,28-Dec-14,2014 Bangalore bombing,Bengaluru,1,5,
93,20-Mar-15,2015 Jammu attack,Jammu and Kashmir,6,10,
94,4–9 June 2015,2015 Manipur ambush,Manipur,176 (including 158 terrorists),15,Surgical strike by Indian Armed Forces near India-Myanmar border killing 156 terrorists
95,27-Jul-15,"2015 Gurdaspur attack in Dina Nagar, Gurdaspur district",Punjab,10,15,
96,02-Jan-16,2016 Pathankot attack in Pathankot Air Force Station,Pathankot,7,,
97,25-Jun-16,2016 Pampore attack,Pampore,8,22,
98,05-Aug-16,2016 Kokrajhar shooting,"Kokrajhar, Assam",14,15,
99,18-Sep-16,2016 Uri attack,"Uri, Jammu & Kashmir",23,8,"India claimed surgical strike on terrorist camps across Line of Control, Pakistan denied that a cross-border strike took place"
100,03-Oct-16,2016 Baramulla attack,"Baramulla, Jammu & Kashmir",5,,
101,06-Oct-16,2016 Handwara attack at Rashtriya Rifles camp,"Handwara, Jammu & Kashmir",,,
102,29-Nov-16,2016 Nagrota army base attack,"Nagrota, Jammu & Kashmir",10,,
103,07-Mar-17,2017 Bhopal–Ujjain Passenger train bombing,"Bhopal, Madhya Pradesh",,10,
104,24-Apr-17,2017 Sukma attack,"Sukma district, Chhattisgarh",26,,
105,11-Jul-17,2017 Amarnath Yatra attack,"Anantnag, Jammu and Kashmir",10,11,
106,01-Jan-18,2018 Sunjuwan attack,Jammu,11,,
107,14-Feb-19,2019 Pulwama attack,Jammu and Kashmir,47,,
108,18-Nov-20,2020 November Srinagar attack,"Srinagar, Jammu and Kashmir",2,12,
109,20-Oct-22,2022 Karan Nagar attack,"Srinagar, Jammu and Kashmir",1,7,
110,01-May-23,2023 Rajouri attack,Rajouri,5,1,
